MovieID,Title,Genre,ReleaseDate,Rating,Votes,Revenue (Million USD)
1,Movie 1,"Drama, Action, Thriller",1997-04-08,6.5,529895,2046.3
2,Movie 2,"Drama, Adventure, Action",1981-02-07,6.8,211299,1705.7
3,Movie 3,"Family, Adventure, Drama",2008-10-09,8.8,127257,2288.5
4,Movie 4,Adventure,2001-05-05,6.8,1511779,351.5
5,Movie 5,"Drama, Thriller",2002-10-09,8.8,2026967,1631.9
6,Movie 6,"Drama, Sci-Fi",2020-10-28,7.3,906516,2128.5
7,Movie 7,Romance,1998-02-28,6.8,523630,1171.4
8,Movie 8,"Thriller, Comedy",2003-06-07,8.3,399483,1846.9
9,Movie 9,Family,1995-03-15,7.3,2436016,697.9
10,Movie 10,"Action, Romance",1982-06-13,6.9,984926,2743.8
11,Movie 11,"Thriller, Romance, Family",2011-07-21,7.6,1210987,461.9
12,Movie 12,"Family, Sci-Fi, Thriller",2017-07-19,7.4,1019897,2992.1
13,Movie 13,Family,2011-02-25,6.2,559901,500.9
14,Movie 14,Adventure,2018-02-13,7.3,2063143,1610.9
15,Movie 15,"Action, Drama, Thriller",2014-05-25,8.2,567883,915.8
16,Movie 16,Animation,1980-12-24,6.9,2199610,2297.8
17,Movie 17,"Drama, Sci-Fi, Adventure",2020-09-20,6.7,1668308,2299.4
18,Movie 18,"Family, Action, Sci-Fi",2000-08-01,6.4,1622451,2642.2
19,Movie 19,"Romance, Action",1995-10-03,6.3,2138391,2457.3
20,Movie 20,"Comedy, Family, Thriller",2010-09-06,6.9,1874769,2894.9
21,Movie 21,"Romance, Sci-Fi, Family",2022-11-12,7.5,2270870,1381.9
22,Movie 22,Romance,1984-06-01,8.1,1065171,1785.9
23,Movie 23,Drama,2020-01-08,6.2,231755,2585.9
24,Movie 24,Family,1995-05-22,7.7,2361711,440.3
25,Movie 25,"Animation, Romance, Adventure",2010-07-07,6.3,1907959,1095.2
26,Movie 26,"Animation, Action",2023-11-21,6.3,1788716,2198.2
27,Movie 27,Romance,1992-04-18,7.6,1869499,591.3
28,Movie 28,"Romance, Drama",2008-09-04,6.2,2367390,2516.3
29,Movie 29,Romance,1990-07-16,7.7,1782084,2712.2
30,Movie 30,Adventure,1980-07-09,9.2,2008443,891.5
31,Movie 31,"Family, Animation, Drama",1992-05-07,9.4,2374131,229.8
32,Movie 32,"Action, Family",2017-08-17,9.2,2327704,514.4
33,Movie 33,"Drama, Comedy, Action",2018-02-22,9.0,1793557,403.7
34,Movie 34,"Romance, Action, Sci-Fi",1985-07-22,8.0,2292709,983.3
35,Movie 35,"Romance, Thriller",1995-05-13,6.5,1358278,1398.8
36,Movie 36,Action,2009-10-19,9.5,407277,1636.0
37,Movie 37,"Sci-Fi, Comedy, Animation",1984-04-12,7.0,1937879,2509.5
38,Movie 38,"Sci-Fi, Action, Thriller",2015-05-22,6.4,663257,830.2
39,Movie 39,Family,1989-05-10,8.1,1538144,650.6
40,Movie 40,"Sci-Fi, Animation, Comedy",1983-02-21,7.5,1260480,180.1
41,Movie 41,"Comedy, Sci-Fi",1990-12-15,7.9,1893848,1704.7
42,Movie 42,Drama,1989-09-02,8.9,2417458,486.9
43,Movie 43,Action,1999-06-26,9.4,267331,2701.8
44,Movie 44,Romance,2022-02-12,8.7,1804470,2922.8
45,Movie 45,"Comedy, Romance, Adventure",1990-03-14,6.1,1493286,2358.0
46,Movie 46,"Romance, Sci-Fi",1990-12-04,7.3,262422,2582.9
47,Movie 47,Romance,2009-06-10,8.9,1054604,707.6
