order_id,product,quantity,price,total_sales,order_date,customer_id,region
ORD0001,Tablet,3,200,600,2024-02-12 12:31:38.768420,CUST271,West
ORD0002,Tablet,3,200,600,2024-11-08 12:31:38.768440,CUST217,West
ORD0003,Smartwatch,2,1000,2000,2024-12-23 12:31:38.768443,CUST57,North
ORD0004,Laptop,1,1000,1000,2024-08-17 12:31:38.768447,CUST148,North
ORD0005,Smartwatch,3,700,2100,2024-09-01 12:31:38.768451,CUST122,West
ORD0006,Monitor,3,1000,3000,2024-09-12 12:31:38.768455,CUST155,West
ORD0007,Headphones,1,700,700,2024-10-25 12:31:38.768458,CUST63,East
ORD0008,Headphones,2,1500,3000,2024-11-13 12:31:38.768462,CUST25,West
ORD0009,Tablet,2,700,1400,2024-01-24 12:31:38.768471,CUST123,North
ORD0010,Monitor,2,700,1400,2024-03-31 12:31:38.768475,CUST215,North
ORD0011,Laptop,2,200,400,2024-11-21 12:31:38.768478,CUST235,South
ORD0012,Tablet,3,200,600,2024-03-08 12:31:38.768481,CUST33,South
ORD0013,Smartphone,3,700,2100,2024-06-02 12:31:38.768484,CUST57,West
ORD0014,Laptop,4,1000,4000,2024-12-19 12:31:38.768486,CUST256,South
ORD0015,Monitor,2,1000,2000,2024-12-20 12:31:38.768489,CUST275,South
ORD0016,Smartphone,1,500,500,2024-11-18 12:31:38.768491,CUST9,West
ORD0017,Smartphone,4,500,2000,2024-09-15 12:31:38.768494,CUST264,East
ORD0018,Monitor,3,700,2100,2024-09-07 12:31:38.768497,CUST295,South
ORD0019,Headphones,2,1500,3000,2024-04-21 12:31:38.768500,CUST124,South
ORD0020,Laptop,4,1500,6000,2024-03-02 12:31:38.768503,CUST74,North
ORD0021,Laptop,1,700,700,2024-12-22 12:31:38.768506,CUST150,North
ORD0022,Monitor,4,700,2800,2024-03-23 12:31:38.768508,CUST220,West
ORD0023,Smartwatch,2,1000,2000,2024-09-25 12:31:38.768511,CUST1,East
ORD0024,Laptop,2,200,400,2024-02-07 12:31:38.768513,CUST181,North
ORD0025,Smartwatch,1,1000,1000,2024-01-11 12:31:38.768516,CUST124,South
ORD0026,Tablet,2,500,1000,2024-03-31 12:31:38.768519,CUST293,South
ORD0027,Laptop,3,700,2100,2024-06-04 12:31:38.768522,CUST214,West
ORD0028,Smartphone,3,500,1500,2024-09-14 12:31:38.768525,CUST96,South
ORD0029,Headphones,3,1000,3000,2024-05-20 12:31:38.768528,CUST44,South
ORD0030,Tablet,1,1500,1500,2024-03-09 12:31:38.768531,CUST269,West
ORD0031,Tablet,3,700,2100,2024-08-15 12:31:38.768534,CUST185,South
ORD0032,Laptop,2,200,400,2025-01-01 12:31:38.768537,CUST35,West
